,num_pit_samples,take_num_samples_when_full,normal_backtransform,trainable_bandwidths,model_id,task_type,num_classes,dataset,error,number_features,instances
220,250,1,True,True,model 2,regression,-1,cal_house,0.9546042693118536,8,20640
221,250,1,True,False,model 2,regression,-1,cal_house,0.9514913783966545,8,20640
222,250,1,False,True,model 2,regression,-1,cal_house,0.8818420570830332,8,20640
223,250,1,False,False,model 2,regression,-1,cal_house,0.9461794664304259,8,20640
224,250,2,True,True,model 2,regression,-1,cal_house,0.9229812319212246,8,20640
225,250,2,True,False,model 2,regression,-1,cal_house,0.9122078867346359,8,20640
226,250,2,False,True,model 2,regression,-1,cal_house,0.855521169503779,8,20640
227,250,2,False,False,model 2,regression,-1,cal_house,0.9533554074935842,8,20640
228,250,3,True,True,model 2,regression,-1,cal_house,0.8528707197006177,8,20640
229,250,3,True,False,model 2,regression,-1,cal_house,0.911050229036912,8,20640
230,250,3,False,True,model 2,regression,-1,cal_house,0.8500440414754309,8,20640
231,250,3,False,False,model 2,regression,-1,cal_house,0.9029815562894001,8,20640
232,250,5,True,True,model 2,regression,-1,cal_house,0.941509235815909,8,20640
233,250,5,True,False,model 2,regression,-1,cal_house,0.9286836903977785,8,20640
234,250,5,False,True,model 2,regression,-1,cal_house,0.880358492827946,8,20640
235,250,5,False,False,model 2,regression,-1,cal_house,0.8988904785250562,8,20640
236,250,10,True,True,model 2,regression,-1,cal_house,0.8981539738578077,8,20640
237,250,10,True,False,model 2,regression,-1,cal_house,0.9279676654860383,8,20640
238,250,10,False,True,model 2,regression,-1,cal_house,0.8212685558947393,8,20640
239,250,10,False,False,model 2,regression,-1,cal_house,0.9438832489003458,8,20640
240,500,0,True,True,model 2,regression,-1,cal_house,0.8840173371888258,8,20640
241,500,0,True,False,model 2,regression,-1,cal_house,0.9280651305169428,8,20640
242,500,0,False,True,model 2,regression,-1,cal_house,0.9009363522212963,8,20640
243,500,0,False,False,model 2,regression,-1,cal_house,0.9384878275321047,8,20640
244,500,1,True,True,model 2,regression,-1,cal_house,0.9439780464190983,8,20640
245,500,1,True,False,model 2,regression,-1,cal_house,0.8974248915591961,8,20640
246,500,1,False,True,model 2,regression,-1,cal_house,0.8872133276154417,8,20640
247,500,1,False,False,model 2,regression,-1,cal_house,0.9502138447125503,8,20640
248,500,2,True,True,model 2,regression,-1,cal_house,0.8789976113835749,8,20640
249,500,2,True,False,model 2,regression,-1,cal_house,0.9469610012541061,8,20640
250,500,2,False,True,model 2,regression,-1,cal_house,0.8656352343482319,8,20640
251,500,2,False,False,model 2,regression,-1,cal_house,0.9154417954946682,8,20640
252,500,3,True,True,model 2,regression,-1,cal_house,0.9583228593064388,8,20640
253,500,3,True,False,model 2,regression,-1,cal_house,0.9561568462356452,8,20640
254,500,3,False,True,model 2,regression,-1,cal_house,0.8859243220222563,8,20640
255,500,3,False,False,model 2,regression,-1,cal_house,0.9392212605331365,8,20640
256,500,5,True,True,model 2,regression,-1,cal_house,0.9030222505055132,8,20640
257,500,5,True,False,model 2,regression,-1,cal_house,0.9676516344694783,8,20640
258,500,5,False,True,model 2,regression,-1,cal_house,0.7956566993955916,8,20640
259,500,5,False,False,model 2,regression,-1,cal_house,0.8971653665030452,8,20640
260,500,10,True,True,model 2,regression,-1,cal_house,0.9374875557481887,8,20640
261,500,10,True,False,model 2,regression,-1,cal_house,0.9095559616750156,8,20640
262,500,10,False,True,model 2,regression,-1,cal_house,0.8892320740604523,8,20640
263,500,10,False,False,model 2,regression,-1,cal_house,0.965459736103124,8,20640
264,1000,0,True,True,model 2,regression,-1,cal_house,0.9495091449787716,8,20640
265,1000,0,True,False,model 2,regression,-1,cal_house,0.9544749961215965,8,20640
266,1000,0,False,True,model 2,regression,-1,cal_house,0.8958916934531769,8,20640
267,1000,0,False,False,model 2,regression,-1,cal_house,0.9401669423171848,8,20640
268,1000,1,True,True,model 2,regression,-1,cal_house,0.9179477992806488,8,20640
269,1000,1,True,False,model 2,regression,-1,cal_house,0.9626374888626615,8,20640
270,1000,1,False,True,model 2,regression,-1,cal_house,0.9503648086763186,8,20640
271,1000,1,False,False,model 2,regression,-1,cal_house,0.9327763575420022,8,20640
272,1000,2,True,True,model 2,regression,-1,cal_house,0.9179272401317877,8,20640
273,1000,2,True,False,model 2,regression,-1,cal_house,0.9785125401532766,8,20640
274,1000,2,False,True,model 2,regression,-1,cal_house,0.9256078722151913,8,20640
275,1000,2,False,False,model 2,regression,-1,cal_house,0.9280946022595182,8,20640
276,1000,3,True,True,model 2,regression,-1,cal_house,0.9691735172102185,8,20640
277,1000,3,True,False,model 2,regression,-1,cal_house,0.9750380742346776,8,20640
278,1000,3,False,True,model 2,regression,-1,cal_house,0.8936603375470626,8,20640
279,1000,3,False,False,model 2,regression,-1,cal_house,0.9412183978676488,8,20640
280,1000,5,True,True,model 2,regression,-1,cal_house,0.928239602131459,8,20640
281,1000,5,True,False,model 2,regression,-1,cal_house,0.9625225166349763,8,20640
282,1000,5,False,True,model 2,regression,-1,cal_house,0.8840460575255935,8,20640
283,1000,5,False,False,model 2,regression,-1,cal_house,0.9227252246627577,8,20640
284,1000,10,True,True,model 2,regression,-1,cal_house,0.9109978686308801,8,20640
285,1000,10,True,False,model 2,regression,-1,cal_house,0.982462952975124,8,20640
286,1000,10,False,True,model 2,regression,-1,cal_house,0.8979420299494598,8,20640
287,1000,10,False,False,model 2,regression,-1,cal_house,0.9599679165070647,8,20640
288,50,0,True,True,model 3,regression,-1,cal_house,0.9751618735467088,8,20640
289,50,0,True,False,model 3,regression,-1,cal_house,0.937104001141885,8,20640
290,50,0,False,True,model 3,regression,-1,cal_house,0.9079384772984813,8,20640
291,50,0,False,False,model 3,regression,-1,cal_house,0.9911733187197848,8,20640
292,50,1,True,True,model 3,regression,-1,cal_house,0.628102520738387,8,20640
293,50,1,True,False,model 3,regression,-1,cal_house,0.7217604606546779,8,20640
294,50,1,False,True,model 3,regression,-1,cal_house,0.6967187240941408,8,20640
295,50,1,False,False,model 3,regression,-1,cal_house,0.6511771411621197,8,20640
296,50,2,True,True,model 3,regression,-1,cal_house,0.6050043813238907,8,20640
297,50,2,True,False,model 3,regression,-1,cal_house,0.6666638741878891,8,20640
298,50,2,False,True,model 3,regression,-1,cal_house,0.5119872654986914,8,20640
299,50,2,False,False,model 3,regression,-1,cal_house,0.0,8,20640
300,50,3,True,True,model 3,regression,-1,cal_house,0.5239721848274657,8,20640
301,50,3,True,False,model 3,regression,-1,cal_house,0.38824272363073364,8,20640
302,50,3,False,True,model 3,regression,-1,cal_house,0.5045691374356558,8,20640
303,50,3,False,False,model 3,regression,-1,cal_house,0.6648845205683952,8,20640
304,50,5,True,True,model 3,regression,-1,cal_house,0.5197309100711515,8,20640
305,50,5,True,False,model 3,regression,-1,cal_house,0.18858912221423169,8,20640
306,50,5,False,True,model 3,regression,-1,cal_house,0.3626574455089514,8,20640
307,50,5,False,False,model 3,regression,-1,cal_house,0.42789416012893833,8,20640
308,50,10,True,True,model 3,regression,-1,cal_house,0.45106858995891386,8,20640
309,50,10,True,False,model 3,regression,-1,cal_house,0.5511100202813,8,20640
310,50,10,False,True,model 3,regression,-1,cal_house,0.5879450914750578,8,20640
311,50,10,False,False,model 3,regression,-1,cal_house,0.5003441186016337,8,20640
312,100,0,True,True,model 3,regression,-1,cal_house,0.9495623156259634,8,20640
313,100,0,True,False,model 3,regression,-1,cal_house,0.9519720981065867,8,20640
314,100,0,False,True,model 3,regression,-1,cal_house,0.939986823942091,8,20640
315,100,0,False,False,model 3,regression,-1,cal_house,0.9822538346204788,8,20640
316,100,1,True,True,model 3,regression,-1,cal_house,0.8378009639014757,8,20640
317,100,1,True,False,model 3,regression,-1,cal_house,0.8707912491606178,8,20640
318,100,1,False,True,model 3,regression,-1,cal_house,0.7364993515907439,8,20640
319,100,1,False,False,model 3,regression,-1,cal_house,0.7729975014685436,8,20640
320,100,2,True,True,model 3,regression,-1,cal_house,0.75946626726785,8,20640
321,100,2,True,False,model 3,regression,-1,cal_house,0.8831465171171344,8,20640
322,100,2,False,True,model 3,regression,-1,cal_house,0.7698672267970479,8,20640
323,100,2,False,False,model 3,regression,-1,cal_house,0.8336654418600051,8,20640
324,100,3,True,True,model 3,regression,-1,cal_house,0.7624647386330274,8,20640
325,100,3,True,False,model 3,regression,-1,cal_house,0.7579779554236721,8,20640
326,100,3,False,True,model 3,regression,-1,cal_house,0.7929333788969177,8,20640
327,100,3,False,False,model 3,regression,-1,cal_house,0.7602898019852822,8,20640
328,100,5,True,True,model 3,regression,-1,cal_house,0.6883010956057862,8,20640
329,100,5,True,False,model 3,regression,-1,cal_house,0.8539901223757476,8,20640
330,100,5,False,True,model 3,regression,-1,cal_house,0.2657021981055516,8,20640
331,100,5,False,False,model 3,regression,-1,cal_house,0.6692664166266168,8,20640
332,100,10,True,True,model 3,regression,-1,cal_house,0.7336908759929386,8,20640
333,100,10,True,False,model 3,regression,-1,cal_house,0.748329851092184,8,20640
334,100,10,False,True,model 3,regression,-1,cal_house,0.63024675412182,8,20640
335,100,10,False,False,model 3,regression,-1,cal_house,0.7385735393886218,8,20640
336,150,0,True,True,model 3,regression,-1,cal_house,0.9685809226911363,8,20640
337,150,0,True,False,model 3,regression,-1,cal_house,0.9544618929864108,8,20640
338,150,0,False,True,model 3,regression,-1,cal_house,0.9707242256413772,8,20640
339,150,0,False,False,model 3,regression,-1,cal_house,0.9318402110609156,8,20640
340,150,1,True,True,model 3,regression,-1,cal_house,0.871469750387281,8,20640
341,150,1,True,False,model 3,regression,-1,cal_house,0.8839970534878188,8,20640
342,150,1,False,True,model 3,regression,-1,cal_house,0.7539322759352959,8,20640
343,150,1,False,False,model 3,regression,-1,cal_house,0.8491941857359543,8,20640
344,150,2,True,True,model 3,regression,-1,cal_house,0.8683445330537627,8,20640
345,150,2,True,False,model 3,regression,-1,cal_house,0.9130921511309141,8,20640
346,150,2,False,True,model 3,regression,-1,cal_house,0.7423678760020489,8,20640
347,150,2,False,False,model 3,regression,-1,cal_house,0.8500820056105887,8,20640
348,150,3,True,True,model 3,regression,-1,cal_house,0.7706409716167124,8,20640
349,150,3,True,False,model 3,regression,-1,cal_house,0.8575503156844517,8,20640
350,150,3,False,True,model 3,regression,-1,cal_house,0.7344589138490099,8,20640
351,150,3,False,False,model 3,regression,-1,cal_house,0.8662627896479269,8,20640
